"# of Use","kan # gebruikt worden"
"%1$s incl tax.","%1$s incl. BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"%s and above","%s en daar boven"
"Quantity","Aantal:"
"Quick Create","Snel aanmaken"
"Quick Overview","Snel overzicht"
"Quick simple product creation","Snel een simpel product aanmaken"
"Records for ""","Records for """
"Redirect","Doorsturen"
"Redirect URL","Doorstuur URL"
"Regular Price:","Normale prijs:"
"Related Products","Verwante producten"
"Remove","Verwijderen"
"Remove Product From Websites","Product van websites verwijderen"
"Remove This Item","Dit item verwijderen"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Remove option"
"Remove product assignment","Productkoppeling verwijderen"
"Remove product image","Productafbeelding verwijderen"
"Remove product link","Productlink  verwijderen"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","EAV categoriestructuur naar platte structuur omschrijving"
"Reorganize EAV product structure to flat structure","EAV productstructur naar platte structuur omschrijven"
"Reset","Herstellen"
"Results","Resultaten"
"Retrieve attribute data","Attribuutgegevens ophalen"
"Retrieve attribute list","Attributenlijst ophalen"
"Retrieve attribute options","Attribuutopties ophalen"
"Retrieve categories tree","Boom categorieën ophalen"
"Retrieve category attributes","Categorie-attributen ophalen"
"Retrieve category data","Categoriegegevens ophalen"
"Retrieve hierarchical tree","Hierarchische boom ophalen"
"Retrieve linked products","Haal gekoppelde producten op"
"Retrieve list of assigned products","Haal een lijst op van toegewezen producten"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","E&eactue;n niveau  van categorie&euml;n per website/winkelzicht/ouder-categorie"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Product ophalen"
"Retrieve product attribute sets","Productattributen ophalen"
"Retrieve product image","Productafbeelding ophalen"
"Retrieve product image list","Lijst productafbeeldingen ophalen"
"Retrieve product image types","Typenl productafbeeldingen ophalen"
"Retrieve product link type attributes","Attributen product-linktype ophalen"
"Retrieve product link types","Product-linktypen ophalen"
"Retrieve product tier prices","Staffelprijzen product ophalen"
"Retrieve product types","Producttypen ophalen"
"Retrieve products data","Productgegevens ophalen"
"Retrieve products list by filters","Gefilterde productenlijst ophalen"
"Reviews","Beoordelen"
"Roll Over for preview","Mouse-over toont beeld"
"Root","Root"
"SKU","Artikelnummer"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Save","Opslaan"
"Save Attribute","Attribuut opslaan"
"Save Attribute Set","Attributenset opslaan"
"Save Category","Categorie opslaan"
"Save Search","Zoekopdracht opslaan"
"Save and Continue Edit","Opslaan en verder bewerken"
"Saved %d record(s)","%d record(s) opgeslagen"
"Scope","Bereik"
"Scope must not be changed, because the attribute is used in configurable products.","Scope mag niet worden gewijzigd omdat het attribuut gebruikt wordt in configureerbare producten."
"Search","Zoeken"
"Search Engine Optimizations","Search Engine Optimalisatie (SEO)"
"Search Information","Zoekinformatie"
"Search Query","Zoekopdracht"
"Search Term with such search query already exists.","Zoekterm met zo een zoekwoord bestaat al"
"Searchable","Doorzoekbaar"
"See price before order confirmation.","See price before order confirmation."
"Select Category...","Selecteer categorie..."
"Select Configurable Attributes ","Select Configurable Attributes "
"Select Product...","Selecteer product..."
"Select type of option","Type-optie selecteren"
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Selected Product Types","Producttypen selecteren"
"Selected configuration is not available.","Geselecteerde configuratie is niet beschikbaar"
"Send Count","Telling versturen"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"Set Name","Naam instellen"
"Set Root Category for Store","Basiscategorie voor winkel instellen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Basiscategorie instellen voor deze winkel in de <a href=""%s"">configuratie</a>"
"Set special price","Aanbiedingprijs instellen"
"Set/Get current store view","Huidige winkelzicht ophalen/instellen"
"Settings","Instellingen"
"Shop By","Winkelen per"
"Shopping Options","Selectie verfijnen"
"Show","Toon"
"Show Details","Details tonen"
"Show Tags","Labels tonen"
"Simple Product","Simpel product"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Sla importeren van rij over, benodigd veld ""%s"" voor nieuwe klant is niet opgegeven."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Sla importeren van rij over. Waarde ""%s"" is ongeldig voor veld ""%s""."
"Skipping import row, required field ""%s"" for new products is not defined.","Sla importeren van rij over. Veld ""%s"" is niet opgegeven."
"Skipping import row, required field ""%s"" is not defined.","Sla importeren van rij over. Veld ""%s"" is niet opgegeven."
"Skipping import row, store ""%s"" field does not exist.","Sla importeren van rij over. Veld ""%s"" bestaat niet."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Sla importeren van rij over. Waarde ""%s"" is ongeldig voor veld ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options."
"Sort By","Sorteer op"
"Sort Order","Sorteervolgorde"
"Source Model","Bron model"
"Special Expires On: %s","Aanbieding verloopt op: %s"
"Special Price:","Aanbiedingsprijs:"
"Special Price: %s","Aanbiedingsprijs: %s"
"Starting at:","Beginnend op:"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Status","Status"
"Stock Availability","Beschikbaarheid voorraad:"
"Store","Winkel"
"Store View","Winkelzicht"
"Stretch","Uitrekken"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Super product attributes configuration","Configuratie super-productattributen"
"Synonym For","Synoniem voor"
"System Properties","Systeemeigenschappen"
"Tag Name","Labelnaam"
"Tax","BTW"
"Template","Sjabloon"
"Text","Tekst"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The attribute model is not defined","Het attribuut model is niet opgegeven"
"The attribute set has been saved.","De attribuut set is opgeslagen"
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The category has been deleted.","De categorie is verwijderd"
"The category has been saved.","De categorie is opgeslagen"
"The comparison list was cleared.","De vergelijkingslijst is geleegd"
"The file '%s' for '%s' has an invalid extension","The file '%s' for '%s' has an invalid extension"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","The file '%s' you uploaded is larger than %s Megabytes allowed by server"
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","De filters moeten array."
"The image contents is not valid base64 data.","De afbeelding heeft geen geldige base64-data"
"The image is not specified.","De afbeelding is niet gespecificeerd"
"The model collection resource name is not defined.","De bronnaam van de Model Collection is niet ingevoerd."
"The product %s has been added to comparison list.","Het product %s is toegevoegd aan de vergelijking"
"The product %s has been removed from comparison list.","Het product %s is verwijderd uit de vergelijking"
"The product attribute has been deleted.","Het product attribuut is verwijderd"
"The product attribute has been saved.","Het product attribuut is opgeslagen"
"The product has been created.","Het product is aangemaakt"
"The product has been deleted.","Het product is verwijderd"
"The product has been duplicated.","Het product is gedupliceerd"
"The product has been saved.","Het product is opgeslagen"
"The product has required options","Het product heeft verplichte opties"
"The review has been deleted","De review is verwijderd"
"The review has been saved.","De review is opgeslagen"
"The review was removed by another user or does not exist.","De review is verwijderd door een andere gebruiker, of bestaat niet"
"The search was deleted.","De zoekopdracht is verwijderd"
"The text is too long","De tekst is te lang"
"There are no %s available.","Er is geen %s beschikbaar."
"There are no customers for this alert","Er zijn geen klanten voor deze waarschuwing"
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing"
"There are no products matching the selection.","Er zijn geen producten beschikbaar op deze pagina."
"There was an error while request processing.","There was an error while request processing."
"This Attribute no longer exists","Het attribuut bestaat niet langer."
"This attribute cannot be deleted.","Dit attribuut kan niet verwijderd worden"
"This attribute cannot be edited.","Dit attribuut kan niet bewerkt worden"
"This attribute cannot be updated.","Dit attribuut kan niet geupdate worden"
"This attribute is used in configurable products.","Deze attribuut wordt gebruikt in configureerbare producten."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. U kunt het niet van de attribuutset verwijderen"
"This attribute no longer exists","Dit attribuut bestaat niet meer"
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw a.u.b."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw a.u.b."
"This is a required option","Dit is een verplichte optie"
"This product no longer exists.","Dit product bestaat niet meer"
"This search no longer exists.","Deze zoekopdracht bestaat niet meer"
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Tier Pricing","Staffelprijzen"
"Tile","Tegel"
"Time Format","Tijdsformaat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Total Qty Base Items","Totaal aantal basisartikelen"
"Total incl. Tax: %1$s","Totaal incl. BYTW %1s"
"Total of %d record(s) have been deleted.","In totaal %d records(s) zijn aangepast"
"Total of %d record(s) have been updated.","In totaal %d records(s) zijn aangepast"
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Soort"
"URL Rewrite Management","URL-herschrijf beheer"
"Unable to complete this request.","Deze opdracht kan niet uitgevoerd worden"
"Unable to find a search term to delete.","Deze zoekterm kan niet verwijderd worden"
"Unable to find an attribute to delete.","Dit attribuut kan niet verwijderd worden"
"Unable to get the product ID.","Het is niet mogelijk om het product-ID te achterhalen"
"Unassigned Attributes","Niet-toegewezen attributen"
"Unknown EAV indexer type ""%s"".","Onbekende EAV index type ""%s""."
"Unknown attribute: %s.","Onbekend attribuut: %s"
"Unsupported product type ""%s"".","Onbekend producttype ""%s""."
"Up-sells","Upsells"
"Update","Bijwerken"
"Update Attributes","Attributen bijwerken"
"Update Tier Price","Staffelprijs bijwerken"
"Update assigned product","Toegewezen product bijwerken"
"Update attribute","Update attribute"
"Update attributes","Atttributen bijwerken"
"Update category","Categorie bijwerken"
"Update custom option of product","Update custom option of product"
"Update product","Product bijwerken"
"Update product image","Productafbeelding bijwerken"
"Update product link","Productlink bijwerken"
"Update product tier prices","Staffelprijzen product bijwerken"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Upload new product image "
"Use Canonical Link Meta Tag For Categories","Canonical links voor categorieen"
"Use Canonical Link Meta Tag For Products","Canonical links voor producten"
"Use Categories Path for Product URLs","Categorieënpad voor product-URL’s gebruiken"
"Use Config Settings","Configuratie-instellingen gebruiken"
"Use Default Value","Standaardwaarden gebruiken"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Flat Catalog Product","Gebruik platte catalogus producten"
"Use In Layered Navigation","Gebruik in gelaagde navigatie"
"Use In Search Results Layered Navigation","Gebruiken in zoekresultaten van gelaagde navigatie"
"Use JavaScript Calendar","Maak gebruik van Javascript kalender"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Gebruik statische URL's voor media in WYSIWYG"
"Use To Create Configurable Product","Gebruiken om configureerbaar product aan te maken"
"Use Tree Like Category Sitemap","Gebruik sitemap"
"Use config","Gebruik config"
"Use default","Gebruik standaard"
"Use for Promo Rule Conditions","Gebruik voor prijsregels"
"Use four-digit year format.","Gebruik vier-cijferige jaar aanduiding"
"Use in Advanced Search","Gebruiken in geavanceerd zoeken"
"Use in Layered Navigation","Gebruik in gelaagde navigatie"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gebruiken in gelaagde navigatie<br />(alleen mogelijk met catalogus-veldtype ‘Dropdown’)"
"Use in Quick Search","Gebruiken in Snel zoeken"
"Used for Sorting in Product Listing","Te gebruiken als sorteeroptie in categorieën."
"Used in Product Listing","Te gebruiken in categorieën."
"Value for ""%s"" is invalid.","Waarde voor ""%s"" is ongeldig."
"Value for ""%s"" is invalid: %s","Waarde voor ""%s"" is ongeldig: %s"
"Varchar","Varchar"
"View as","Tonen als"
"Virtual Product","Virtueel product"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Zichtbaar op cataloguspagina's in frontend"
"Visible on Product View Page on Front-end","Zichtbaar op productpagina in frontend"
"WYSIWYG Editor","WYSIWYG editor"
"Watermark","Watermerk"
"Watermark Default Size","Standaard-grootte van watermerk"
"Watermark Opacity, Percent","Watermerk, Percentage transparantie"
"Watermark Position","Plaats van watermerk"
"We Also Recommend","Ook aanbevolen"
"Website","Website"
"Websites","Websites"
"What's this?","What's this?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Toon 'Alle Producten' of 'X producten per pagina' in de dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","Verkeerde 'BuyRequest' instantie in opties-groep"
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Verkeerde optie-instantie-type in opties-groep"
"Wrong option type to get group instance.","Onjuiste optie type"
"Wrong product instance type in options group.","Verkeerde product-instantie-type in opties-groep"
"Wrong product type filter specified","Verkeerde product-type-filter opgegeven"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"Year Range","Jaar"
"Yes","Ja"
"You cannot remove system attribute from this set.","U kunt dit systeemattribuut niet verwijderen uit deze set."
"You have no items to compare.","Geen producten geselecteerd."
"You may also be interested in the following product(s)","U bent wellicht ook geïnteresseerd in de volgende producten:"
"Zoom In","Inzoomen"
"Zoom Out","Uitzoomen"
"and","en"
"and above","en hoger"
"categories","Categorie"
"each","elk"
"ex. http://domain.com","bijv. http://domein.nl"
"leave blank if its not an image","leeglaten indien het geen afbeelding is"
"per page","per pagina"
"products","Producten"
"px.","pixels"
"save","bespaar"
"select all","Alles selecteren"
"unselect all","Deselecteer alles"
"x","x"
